character,dialogue,episode
BEN,"Dont worry, hell be all right.",episode IV
LUKE,What happened,episode IV
BEN,"Rest easy, son, youve had a busy day.  Youre fortunate youre still in one piece.",episode IV
LUKE,"Ben  Ben Kenobi  Boy, am I glad to see you ",episode IV
BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far",episode IV
LUKE,"Oh, this little droid  I think hes searching for his former master...  Ive never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours  Do you know who hes talking about",episode IV
BEN,Obi-Wan Kenobi... Obi-Wan  Now thats a name I havent heard in a long time... a long time.,episode IV
LUKE,I think my uncle knew him.  He said he was dead.,episode IV
BEN,"Oh, hes not dead, no... not yet.",episode IV
LUKE,You know him,episode IV
BEN,"Well of course, of course I know him.  Hes me  I havent gone by the name Obi-Wan since oh, before you were born.",episode IV
LUKE,Then the droid does belong to you.,episode IV
BEN,Dont seem to remember ever owning a droid.  Very interesting... ,episode IV
BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,episode IV
LUKE,... Threepio,episode IV
THREEPIO,Where am I  I must have taken a bad step...,episode IV
LUKE,Can you stand  Weve got to get out of here before the Sand People return.,episode IV
THREEPIO,"I dont think I can make it.  You go on, Master Luke.  Theres no sense in you risking yourself on my account.  Im done for.",episode IV
LUKE,"No, youre not.  What kind of talk is that",episode IV
BEN,"Quickly, son... theyre on the move.",episode IV
LUKE,"No, my father didnt fight in the wars.  He was a navigator on a spice freighter.",episode IV
BEN,Thats what your uncle told you.  He didnt hold with your fathers ideals.  Thought he should have stayed here and not gotten involved.,episode IV
LUKE,You fought in the Clone Wars,episode IV
BEN,"Yes, I was once a Jedi Knight the same as your father.",episode IV
LUKE,I wish Id known him.,episode IV
BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand youve become quite a good pilot yourself.  And he was a good friend.  Which reminds me...",episode IV
BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldnt allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. ",episode IV
THREEPIO,"Sir, if youll not be needing me, Ill close down for awhile.",episode IV
LUKE,"Sure, go ahead.",episode IV
LUKE,What is it,episode IV
BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,episode IV
BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.",episode IV
LUKE,How did my father die,episode IV
BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.",episode IV
LUKE,The Force,episode IV
BEN,"Well, the Force is what gives the Jedi his power.  Its an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.",episode IV
BEN,"Now, lets see if we cant figure out what you are, my little friend.  And where you come from.",episode IV
LUKE,I saw part of the message he was...,episode IV
BEN,I seem to have found it.,episode IV
